ajuste,data,open_interest,pu,taxa,ticker,ultimo_preco,vencimento,volume
13.12,2025-11-17,42660.0,13.11,13.11,DI1J30,13.11,2030-04-01,42.0
13.043,2025-11-17,77315.0,13.055,13.055,DI1V29,13.055,2029-10-01,71.0
13.199,2025-11-17,1510916.0,13.205,13.205,DI1N27,13.205,2027-07-01,46731.0
13.65,2025-11-17,5929763.0,13.665,13.665,DI1F27,13.665,2027-01-04,160366.0
13.463,2025-11-17,57591.0,13.42,13.42,DI1F37,13.42,2037-01-02,1.0
13.49,2025-11-17,777353.0,13.48,13.48,DI1F35,13.48,2035-01-02,71164.0
13.411,2025-11-17,938179.0,13.41,13.41,DI1J27,13.41,2027-04-01,11868.0
12.891,2025-11-17,237113.0,12.895,12.895,DI1J28,12.895,2028-04-03,882.0
13.142,2025-11-17,39912.0,13.14,13.14,DI1Q27,13.14,2027-08-02,47.0
13.052,2025-11-17,1155540.0,13.065,13.065,DI1V27,13.065,2027-10-01,15315.0
13.382,2025-11-17,1357163.0,13.375,13.375,DI1F32,13.375,2032-01-02,35874.0
13.087,2025-11-17,1208288.0,13.09,13.09,DI1F30,13.09,2030-01-02,31269.0
13.351,2025-11-17,50621.0,,,DI1F40,,2040-01-02,
14.902,2025-11-17,1315767.0,14.899,14.899,DI1Z25,14.899,2025-12-01,5941.0
13.881,2025-11-17,47257.0,13.895,13.895,DI1X26,13.895,2026-11-03,1758.0
12.912,2025-11-17,3602201.0,12.92,12.92,DI1F29,12.92,2029-01-02,228361.0
13.358,2025-11-17,33599.0,,,DI1F39,,2039-01-03,
14.767,2025-11-17,2122743.0,14.765,14.765,DI1J26,14.765,2026-04-01,231764.0
12.949,2025-11-17,85164.0,12.94,12.94,DI1J29,12.94,2029-04-02,74.0
14.012,2025-11-17,1033355.0,14.02,14.02,DI1V26,14.02,2026-10-01,33860.0
13.77,2025-11-17,94801.0,13.785,13.785,DI1Z26,13.785,2026-12-01,3891.0
13.441,2025-11-17,607643.0,13.435,13.435,DI1F33,13.435,2033-01-03,32118.0
13.248,2025-11-17,1801847.0,13.24,13.24,DI1F31,13.24,2031-01-02,159067.0
13.001,2025-11-17,1030399.0,13.005,13.005,DI1N29,13.005,2029-07-02,63713.0
14.549,2025-11-17,281592.0,14.555,14.555,DI1M26,14.555,2026-06-01,3290.0
12.939,2025-11-17,3393185.0,12.945,12.945,DI1F28,12.945,2028-01-03,214080.0
13.393,2025-11-17,50114.0,13.395,13.395,DI1F38,13.395,2038-01-04,2.0
13.17,2025-11-17,71193.0,13.16,13.16,DI1N30,13.16,2030-07-01,74.0
12.893,2025-11-17,131765.0,12.9,12.9,DI1V28,12.9,2028-10-02,98.0
14.419,2025-11-17,2897909.0,14.425,14.425,DI1N26,14.425,2026-07-01,206326.0
14.149,2025-11-17,208293.0,14.155,14.155,DI1U26,14.155,2026-09-01,5052.0
14.892,2025-11-17,437220.0,14.891,14.891,DI1G26,14.891,2026-02-02,35304.0
14.848,2025-11-17,306951.0,14.85,14.85,DI1H26,14.85,2026-03-02,18289.0
14.678,2025-11-17,264255.0,14.685,14.685,DI1K26,14.685,2026-05-04,278.0
14.895,2025-11-17,4608464.0,14.895,14.895,DI1F26,14.895,2026-01-02,79629.0
13.47,2025-11-17,67994.0,13.455,13.455,DI1F36,13.455,2036-01-02,203.0
13.473,2025-11-17,275221.0,13.465,13.465,DI1F34,13.465,2034-01-02,395.0
12.875,2025-11-17,510825.0,12.875,12.875,DI1N28,12.875,2028-07-03,17037.0
13.2,2025-11-17,27189.0,13.19,13.19,DI1V30,13.19,2030-10-01,90.0
14.285,2025-11-17,90523.0,14.29,14.29,DI1Q26,14.29,2026-08-03,276.0
,2025-11-17,,,,DI1D,,9999-12-31,
13.109,2025-11-18,42702.0,13.11,13.11,DI1J30,13.11,2030-04-01,224.0
13.029,2025-11-18,77314.0,13.03,13.03,DI1V29,13.03,2029-10-01,784.0
13.183,2025-11-18,1501641.0,13.205,13.205,DI1N27,13.205,2027-07-01,61518.0
13.642,2025-11-18,5919387.0,13.65,13.65,DI1F27,13.65,2027-01-04,271321.0
13.45,2025-11-18,57591.0,13.445,13.445,DI1F37,13.445,2037-01-02,210.0
13.481,2025-11-18,786168.0,13.51,13.51,DI1F35,13.51,2035-01-02,72887.0
13.398,2025-11-18,939926.0,13.41,13.41,DI1J27,13.41,2027-04-01,18243.0
12.868,2025-11-18,237291.0,12.9,12.9,DI1J28,12.9,2028-04-03,554.0
13.122,2025-11-18,39959.0,13.13,13.13,DI1Q27,13.13,2027-08-02,190.0
13.031,2025-11-18,1148198.0,13.055,13.055,DI1V27,13.055,2027-10-01,27396.0
13.375,2025-11-18,1356999.0,13.405,13.405,DI1F32,13.405,2032-01-02,48855.0
13.072,2025-11-18,1208412.0,13.11,13.11,DI1F30,13.11,2030-01-02,73069.0
13.338,2025-11-18,50621.0,,13.338,DI1F40,,2040-01-02,
14.9,2025-11-18,1316185.0,14.901,14.901,DI1Z25,14.901,2025-12-01,12121.0
13.871,2025-11-18,47966.0,13.885,13.885,DI1X26,13.885,2026-11-03,743.0
12.887,2025-11-18,3588266.0,12.925,12.925,DI1F29,12.925,2029-01-02,280242.0
13.345,2025-11-18,33599.0,,13.345,DI1F39,,2039-01-03,
14.766,2025-11-18,2187466.0,14.77,14.77,DI1J26,14.77,2026-04-01,214248.0
12.932,2025-11-18,85185.0,12.94,12.94,DI1J29,12.94,2029-04-02,552.0
14.005,2025-11-18,1036991.0,14.01,14.01,DI1V26,14.01,2026-10-01,41323.0
13.76,2025-11-18,94853.0,13.77,13.77,DI1Z26,13.77,2026-12-01,6017.0
13.434,2025-11-18,614001.0,13.47,13.47,DI1F33,13.47,2033-01-03,37522.0
13.24,2025-11-18,1803196.0,13.265,13.265,DI1F31,13.265,2031-01-02,177412.0
12.997,2025-11-18,1029234.0,13.025,13.025,DI1N29,13.025,2029-07-02,125132.0
14.54,2025-11-18,281209.0,14.555,14.555,DI1M26,14.555,2026-06-01,2535.0
12.917,2025-11-18,3364695.0,12.94,12.94,DI1F28,12.94,2028-01-03,283582.0
13.377,2025-11-18,50408.0,,13.377,DI1F38,,2038-01-04,
13.161,2025-11-18,71193.0,13.17,13.17,DI1N30,13.17,2030-07-01,839.0
12.877,2025-11-18,131771.0,12.895,12.895,DI1V28,12.895,2028-10-02,1833.0
14.415,2025-11-18,2952747.0,14.42,14.42,DI1N26,14.42,2026-07-01,311953.0
14.14,2025-11-18,202602.0,14.15,14.15,DI1U26,14.15,2026-09-01,2320.0
14.892,2025-11-18,449555.0,14.892,14.892,DI1G26,14.892,2026-02-02,56328.0
14.846,2025-11-18,307955.0,14.85,14.85,DI1H26,14.85,2026-03-02,28661.0
14.674,2025-11-18,264245.0,14.68,14.68,DI1K26,14.68,2026-05-04,4112.0
14.896,2025-11-18,4642439.0,14.895,14.895,DI1F26,14.895,2026-01-02,276166.0
13.455,2025-11-18,68154.0,13.455,13.455,DI1F36,13.455,2036-01-02,201.0
13.462,2025-11-18,274720.0,13.485,13.485,DI1F34,13.485,2034-01-02,1035.0
12.857,2025-11-18,510141.0,12.88,12.88,DI1N28,12.88,2028-07-03,16533.0
13.193,2025-11-18,27189.0,13.21,13.21,DI1V30,13.21,2030-10-01,174.0
14.278,2025-11-18,90759.0,14.285,14.285,DI1Q26,14.285,2026-08-03,1388.0
,2025-11-18,,,,DI1D,,9999-12-31,
